trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.13261955589475294}",25,0,-5.578319613027428,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.12996716477685788}",25,0,-27.137994426429994,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.12736782148132073}",20,13,9.902746049786902,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.12482046505169431}",25,17,13.348786465821833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12232405575066042}",20,9,0.211132290896491,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.11987757463564722}",25,0,-67.71602831336217,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.11748002314293426}",20,14,9.162969844089112,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.11513042268007558}",30,9,18.719895791094967,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11282781422647406}",30,8,28.67461219816447,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11057125794194458}",20,3,-68.5329627694629,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 2}",1
110,False,"{'a': 0.5, 'e': 0.10835983278310568}",25,12,-57.69542881166514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
111,False,"{'a': 0.5, 'e': 0.10619263612744358}",30,8,31.590622198081082,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.1040687834048947}",30,0,-0.6095733102555208,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.1019874077367968}",25,1,30.588028101106293,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.09994765958206087}",30,21,19.477677902985675,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.09794870639041964}",25,13,21.031174000362128,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.09598973226261125}",30,19,12.474601449689033,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09406993761735902}",30,0,9.648593299783407,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.09218853886501184}",30,0,-104.65552006551115,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 3}",0
119,False,"{'a': 0.5, 'e': 0.09034476808771161}",25,11,19.40281444056685,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.08853787272595737}",20,1,-54.53442864961602,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
121,False,"{'a': 0.5, 'e': 0.08676711527143822}",20,6,-40.73352230404395,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.08503177296600946}",25,0,-11.605358885414516,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.08333113750668926}",20,0,-24.02737299166645,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.08166451475655548}",20,0,-14.259273446754966,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.08003122446142437}",35,11,23.519097096423636,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.07843059997219588}",30,18,18.679511687501076,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.07686198797275196}",20,13,13.93778907759456,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.07532474821329692}",25,7,25.29924512596419,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07381825324903098}",20,14,9.837794361500263,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.07234188818405035}",20,0,-52.23727773185165,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
